text,output
Detect the sentiment of the tweet. RT @tippereconomy: Another use case for #blockchain and #Tipper. The #TipperEconomy  can unseat Facebook and change everything! ICO Live No…,Positive
Detect the sentiment of the tweet. free coins https://t.co/DiuoePJdap,Positive
"Detect the sentiment of the tweet. RT @payvxofficial: WE are happy to announce that PayVX Presale Phase 1 is now LIVE!

Sign up --&gt;&gt; https://t.co/dhprzsSxek
Currencies accept…",Positive
"Detect the sentiment of the tweet. Copy successful traders automatically with Bitcoin! 💰💰

I copy ""Dividend667"". Do you?

➡️ https://t.co/qb2NXPknVt… https://t.co/Q43fKQRYzx",Positive
"Detect the sentiment of the tweet. RT @bethereumteam: We're revealing our surprise tomorrow! 
Are you ready to celebrate with us? 😮
#surprise #presents #crypto #bitcoin #ethe…",Positive
"Detect the sentiment of the tweet. first speaker @digitsu

""how we can get bitcoin to be the greatest CASH in the world
medium of exchange, not meant… https://t.co/kV3S9kT32A",Positive
Detect the sentiment of the tweet. @p0nd3ea Bitcoin wasn't built to live on exchanges.,Positive
Detect the sentiment of the tweet. @historyinflicks Buddy if I had whatever series of 19th diseases Bannon clearly has I'd want to be a bitcoin too.,Positive
"Detect the sentiment of the tweet. RT @_bitcoinmonster: Bitcoin Monster - Monsterize Your Asset
Cryptocurrency Monster - Masternode Support - High Rewards
-------------------…",Positive
Detect the sentiment of the tweet. RT @SteveRichFXCorp: #Breaking #SteveRichFXCorp #News Alert : https://t.co/UUGvxAIMYh is now live! Latest News and Updates on Cryptocurrenc…,Positive
"Detect the sentiment of the tweet. RT @bethereumteam: This month we're celebrating a major #milestone in the project and we're involving our growing community!
Can you guess…",Positive
"Detect the sentiment of the tweet. Copy successful traders automatically with Bitcoin! 💰💰

I copy ""Dividend667"". Do you?

➡️ https://t.co/soBG18eXy8… https://t.co/oATyZxmjtl",Positive
"Detect the sentiment of the tweet. First to USD $0.10

$btc $trx $xvg $xrp $bdc $vibe $appc $eth $ltc $xrp $tron #tron #bitcoin #trader #trading… https://t.co/Larkz8lR5n",Positive
"Detect the sentiment of the tweet. RT @RandolphMlny: #Bitcoin #Satoshi #Earn_Money #cryptocurrency #blockchain #Airdrop
New Airdrop #Hubtrex 📢

#Hubtrex New Exchange is doing…",Positive
"Detect the sentiment of the tweet. RT @CoinsAirdrops: #Bitcoin #Satoshi #Earn_Money #cryptocurrency #blockchain #Airdrop
New Airdrop #Redcoin 📢

#Redcoin distributes free 188…",Positive
"Detect the sentiment of the tweet. RT @bethereumteam: What are Smart Contracts?
Read more about the technology and what they mean for #Bethereum: https://t.co/Eki5dzkfyp
#blo…",Positive
Detect the sentiment of the tweet. RT @lopp: @psycho_sage @naval Bitcoin is a game where everybody watches everybody else to make sure nobody cheats.,Positive
"Detect the sentiment of the tweet. RT @BUY_and_SELL5: Cryptocurrency Market Remains Stable at $350 Billion, Bitcoin at $9,000.
Over the past 48 hours, after demonstrating a h…",Negative
"Detect the sentiment of the tweet. Copy successful traders automatically with Bitcoin! 💰💰

I copy ""Dividend667"". Do you?

➡️ https://t.co/qb2NXPknVt… https://t.co/uyCsZq1GLP",Positive
"Detect the sentiment of the tweet. RT @toshi_mat003: THE MOST INNOVATIVE AND LUCRATIVE WAY TO EARN BITCOIN
JOIN BITCLUB NETWORK!!!",Positive
Detect the sentiment of the tweet. Bitcoin Is Now Preparing For A Major Move https://t.co/ztc7cm2sQM,Positive
Detect the sentiment of the tweet. Should we be crying out for standardisation and regulation of the digital currency Bitcoin? https://t.co/GtpynsyQV5 #tags,Negative
Detect the sentiment of the tweet. RT @lopp: @psycho_sage @naval Bitcoin is a game where everybody watches everybody else to make sure nobody cheats.,Positive
"Detect the sentiment of the tweet. RT @bethereumteam: Create custom group bets and invite your friends, choose the buy in amounts, select what sport to bet on and enjoy the g…",Positive
Detect the sentiment of the tweet. Bitcoin Loses $9k Support After Binance Confusion Shakes Confidence ...  https://t.co/Wmtp4DwlZs,Negative
"Detect the sentiment of the tweet. 1: Bitcoin average price is $8712.32 (-0.39% 1h)
2: Ethereum average price is $538.523 (-0.43% 1h)
3: Ripple averag… https://t.co/NrYWB93wMW",Negative
"Detect the sentiment of the tweet. RT @DrDenaGrayson: 🛑BREAKING🛑

Rockin' Rod Rosenstein to make a MAJOR CYBER LAW ENFORCEMENT announcement tomorrow‼️

*TREASURY* Undersecret…",Positive
